Agave stricta;Lithops aucampiae
Aloe aristata;Pseuderanthemum atropurpureum
Aloe aristata;Allium schoenoprasum
Plumeria rubra;Hosta rectifolia
Allium spirale;Allium schoenoprasum
Plumeria rubra;Agave stricta
Plumeria rubra;Strobilanthes isophyllus
Lithops aucampiae;Caldesia reniformis
Allium schoenoprasum;Agave stricta
Plumeria rubra;Allium schoenoprasum
Agave stricta;Allium spirale
Plumeria rubra;Aloe zebrina
Onychium japonicum;Caldesia reniformis
Aloe aristata;Aloe zebrina
Agave filifera;Aloe zebrina
Hosta rectifolia;Onychium japonicum
Aloe aristata;Agave stricta
Agave filifera;Pseuderanthemum atropurpureum
Plumeria rubra;Lithops aucampiae
Onychium japonicum;Agave stricta
Lithops aucampiae;Agave filifera
Allium spirale;Onychium japonicum
Hosta rectifolia;Pseuderanthemum atropurpureum
Allium schoenoprasum;Hosta rectifolia
Hosta rectifolia;Allium spirale
Aloe zebrina;Pseuderanthemum atropurpureum
Caldesia reniformis;Onychium japonicum
Agave filifera;Lithops aucampiae
Allium spirale;Agave filifera
Allium schoenoprasum;Onychium japonicum
Caldesia reniformis;Hosta rectifolia
Aloe zebrina;Caldesia reniformis
Aloe aristata;Hosta rectifolia
Aloe aristata;Pseuderanthemum atropurpureum
Aloe zebrina;Pseuderanthemum atropurpureum
Plumeria rubra;Lithops aucampiae
Aloe zebrina;Allium schoenoprasum
Allium spirale;Allium spirale
Aloe zebrina;Agave filifera
Hosta rectifolia;Aloe zebrina
Allium schoenoprasum;Caldesia reniformis
Caldesia reniformis;Onychium japonicum
Caldesia reniformis;Agave filifera
Aloe aristata;Lithops aucampiae
Hosta rectifolia;Allium schoenoprasum
Agave stricta;Agave filifera
Hosta rectifolia;Pseuderanthemum atropurpureum
Agave stricta;Onychium japonicum
Aloe zebrina;Aloe zebrina
Plumeria rubra;Aloe zebrina
Onychium japonicum;Hosta rectifolia
Lithops aucampiae;Allium spirale
Plumeria rubra;Aloe zebrina
Allium schoenoprasum;Allium spirale
Agave stricta;Pseuderanthemum atropurpureum
Plumeria rubra;Hosta rectifolia
Agave filifera;Agave filifera
Lithops aucampiae;Strobilanthes isophyllus
Lithops aucampiae;Pseuderanthemum atropurpureum
Allium spirale;Allium schoenoprasum
Plumeria rubra;Agave filifera
Hosta rectifolia;Pseuderanthemum atropurpureum
Allium spirale;Allium spirale
Agave stricta;Agave filifera
Hosta rectifolia;Hosta rectifolia
Allium schoenoprasum;Strobilanthes isophyllus
Caldesia reniformis;Allium spirale
Aloe zebrina;Agave stricta
Onychium japonicum;Allium spirale
Agave filifera;Hosta rectifolia
Onychium japonicum;Allium schoenoprasum
Caldesia reniformis;Hosta rectifolia
Hosta rectifolia;Strobilanthes isophyllus
Hosta rectifolia;Lithops aucampiae
Agave filifera;Allium spirale
Agave stricta;Lithops aucampiae
Aloe aristata;Hosta rectifolia
Caldesia reniformis;Aloe zebrina
Hosta rectifolia;Agave filifera
Hosta rectifolia;Onychium japonicum
Lithops aucampiae;Caldesia reniformis
Plumeria rubra;Agave filifera
Hosta rectifolia;Strobilanthes isophyllus
Onychium japonicum;Lithops aucampiae
Hosta rectifolia;Pseuderanthemum atropurpureum
Agave stricta;Allium spirale
Lithops aucampiae;Allium schoenoprasum
Onychium japonicum;Allium schoenoprasum
Agave stricta;Pseuderanthemum atropurpureum
Allium spirale;Hosta rectifolia
Agave filifera;Agave stricta
Agave stricta;Aloe zebrina
Hosta rectifolia;Strobilanthes isophyllus
Caldesia reniformis;Allium schoenoprasum
Agave stricta;Aloe zebrina
Agave stricta;Agave stricta
Allium schoenoprasum;Caldesia reniformis
Agave stricta;Strobilanthes isophyllus
Onychium japonicum;Lithops aucampiae
Onychium japonicum;Aloe zebrina
